ins_id,nome,descricao
SPPESH,PERNA.SHOP RP,SUB PERNAMBUCANAS SHOP RP SP
RJPETC,PETR.CENPES 2,SUB PETROBRAS CENPES II RJ
SPPHMA,PHILIPS MAUA,SUB PHILIPS LIGHTING MAUA SP
MTJBSG,JBS B GARCAS,SUB JBS BARRA DO GARCAS MT
SPNEAR,NESTLE ARARAQ,SUB NESTLE ARARAQUARA SP
SPPECC,PERN.CONV CAM,SUB CASAS PERNAMBUCANAS - UND. CONVIVIO CAMPINAS SP
SPPERP,PERN. R PRETO,SUB CASAS PERNAMBUCANAS - UND. RIBEIRAO PRETO SP
SPPE1B,PERN.BARUERI1,SUB CASAS PERNAMBUCANAS - UND. BARUERI 1 SP
SPPE2B,PERN.BARUERI2,SUB CASAS PERNAMBUCANAS - UND. BARUERI 2 SP
SPPEIN,PERN.INTERLAG,SUB CASAS PERNAMBUCANAS - UND. INTERLAGOS SP
SPPEOS,PERNAM.OSASCO,SUB CASAS PERNAMBUCANAS - UND. OSASCO SP
RJSEIG,SENDAS INGA,SUB SENDAS DO INGA RJ
SPCOPA,COLGATE PALMO,SUB COLGATE PALMOLIVE SP
SCMARI,MARISOL J.SUL,SUB MARISOL - UND. JARAGUA DO SUL SC
RJCADC,CARREF.CAXIAS,SUB CARREFOUR - DUQUE DE CAXIAS RJ
RJCABT,CARREF. BARRA,SUB CARREFOUR - BARRA DA TIJUCA RJ
MG3COR,CAFE 3 CORA,SUB CAFE TRES CORACOES - SANTA LUZIA MG
RJRSSN,RASSINI-NHK,SUB RASSINI-NHK AUTO PECAS RJ
CEJMDO,J MACEDO,SUB MOINHO J MACEDO CE
SPUNVI,UNILEVER VINH,SUB UNILEVER - UND. VINHEDO SP
MGDGRJ,DAGRANJA PASS,SUB DAGRANJA - UND. PASSOS MG
RSCTAN,CGH CASC ANDO,USI CGH CASCATA DAS ANDORINHAS - GERACAO LIQUIDA RS
CEPPCM,PETROBRAS PCM,SUB PETROBRAS PCM CE
MTJBSD,JBS DIAMANTIN,USI JBS UND. DIAMANTINO MT
MGECAL,ENG CALDAS,USI ENGENHEIRO CALDAS MG
RSABNA,CGH ABAUNA,USI CGH ABAUNA RS
PBRCMN,RIAC MANAIRA,SUB LOJAS RIACHUELO - MANAIRA SHOPPING PB
MGLAG,LAGINHA,USI LAGINHA MG
ACUN,UNINORTE,SUB UNINORTE AC
PBVITO,CGE VITORIA,USI CGE VITORIA PB
SPGVTA,USI GAIVOTA,USI GAIVOTA SP
SPARR3,ARARAS 3,SUB ARARAS 3 SP
SPLVN,PCH LAVRINHAS,USI PCH LAVRINHAS SP
SPMFG1,MARFRIG 1,SUB MARFRIG 1 CPFL SP
MTFJBS,FRIG JBS,SUB FRIG JBS - SAO JOSE DOS QUATRO MARCOS MT
MTJBSA,JBS ARAPUTANG,SUB JBS ARAPUTANGA MT
SPFDML,FEDERAL MOGUL,SUB FEDERAL MOGUL ELECTRICAL DO BRASIL SP
PRCDOR,CONDOR PARANA,SUB CONDOR SUPERCENTER UND. PARANAGUA PR
SCMTCL,MULTICOLOR,SUB MULTICOLOR TEXTIL SC
RSCARO,CARRARO OZELA,SUB CARRARO OZELAME RS
RSCARV,CARRARO VALE,SUB CARRARO VALE DOS VINHEDOS RS
MTMM04,MERCADO BD 04,SUB MERCADO MODELO - BARRO DURO ALM 04 MT
MTMM17,MERCADO BD 17,SUB MERCADO MODELO - BARRO DURO ALM 17 MT
MTMMCA,MERCADO C ALT,SUB MERCADO MODELO - CIDADE ALTA MT
MTMMVG,MERCADO VARZE,SUB MERCADO MODELO - VARZEA GRANDE MT
RSMBLW,MABELLA WEST,SUB FRIGORIFICO MABELLA WESTPHALEN RS
SPATMO,ATMOSFERA,SUB ATMOSFERA GESTAO E HIGIENIZACAO DE TEXTEIS SP
SPRSGL,T. ROSSIGNOLO,SUB TEXTIL ROSSIGNOLO SP
SPJSRA,JUSSARA,USI LATICINIOS JUSSARA SP
MGTNPD,TNL PRADO II,SUB TNL CONTAX PRADO II MG
SCBENV,BENVETEX TEXT,SUB BENVETEX TEXTIL SC
SCPHII,CGH PINHE 2,USI CGH PINHEIROS II SC
RSPAMP,PAMPEANO HULH,SUB FRIGORIFICO PAMPEANO DE HULHA NEGRA RS
SPMETI,M TAMANDUATEI,SUB METRO TAMANDUATEI SP
SPVIDA,VIDA ALIMENTO,SUB VIDA ALIMENTOS SP
MGJPH2,JO.PINHEIRO 2,SUB JOAO PINHEIRO 2 MG
SPLJAX,PLAJAX,SUB PLAJAX IND E COM PLASTICOS SP
PEPSCF,PLAZA CASA FO,SUB PLAZA SHOPPING CASA FORTE PE
SCRFRN,RIO DAS FURNA,USI CGH RIO DAS FURNAS SC
RSJBAR,JOSE BARASUOL,USI PCH JOSE BARASUOL G4 RS
SPWIHO,WICKBOLD HORT,SUB WICKBOLD HORTOLANDIA SP
SPNPLT,NOVA PLAST,SUB NOVA PLAST INDUSTRIA E COMERCIO SP
SPMERP,METRO REPUBLI,SUB METRO REPUBLICA SP
SPMEPL,METRO PAULIST,SUB METRO PAULISTA SP
SPMELZ,METRO LUZ,SUB METRO LUZ SP
RSBGFL,BIGFER LEMA,SUB BIGFER IND E COM DE FERRAGENS - LEMA RS
ROCCTA,CASCATA,USI PCH CASCATA CHUPINGUAIA RO
MSCAA,CAARAPO,SUB CAARAPO MS
MTFRNT,SE FERRONORTE,SUB SE FERRONORTE MT
SPZARC,ZARAPLAST CUM,SUB ZARAPLAST - CUMBICA SP
SPPSI0,PETR S ISABEL,SUB TRANSPETRO PETROBRAS SANTA ISABEL SP
SPREXJ,REXAM JACAREI,SUB REXAM JACAREI SP
PRSHCD,SHOP CIDADE,SUB SHOPPING CIDADE PR
MGJMAC,J.MACEDO PA,SUB J. MACEDO POUSO ALEGRE MG
MGICSA,ICASA,SUB ICASA IND CERAMICA ANDRADENSE MG
MGAETH,AETHRA BETIM,SUB AETHRA SISTEMAS AUTOMOTIVOS - BETIM MG
MGATCO,AETHRA CONTAG,SUB AETHRA SISTEMAS AUTOMOTIVOS UND CINCO - CONTAG MG
MGATNA,AETHRA NACION,SUB AETHRA SISTEMAS AUTOMOTIVOS NACIONAL - CONTAGE MG
SPALLP,ALLPAC,SUB ALLPAC SP
RSITMH,ITM H.MILAGRE,SUB ITM INDUSTRIA TEXTEIS H.MILAGRE RS
MAUAL,UTE ALUMAR,USI UTE ALUMAR MA
MGBOUL,BOULEVARD SH,SUB BOULEVARD SHOPPING MG
MSTAL2,SANTA LUZIA II,SUB SANTA LUZIA II MS
