ins_id,nome,descricao
GOUTT,TROPIC BIO I,USI UTE TROPICAL BIOENERGIA I GO
SCRNO,RIO NEGRINHO,SUB RIO NEGRINHO SC
MSELDB,ELD. BRASIL,USI UTE ELDORADO BRASIL MS
SPCED0,C.S.GERTRUDES,SUB CEDASA STA GERTRUDES SP
SCTGE,TIGRE,SUB TIGRE SC
SCIIA,ITAIPAVA,SUB ITAJAI ITAIPAVA SC
SCPSA,PONTE SERRADA,SUB PONTE SERRADA SC
SCCDS,CATANDUVAS,SUB CATANDUVAS SC
PEUTAL,REFI ABREU LIMA,USI REFINARIA ABREU E LIMA PE
SCSBB,S BENTO S BRA,SUB SAO BENTO DO SUL BRASILIA SC
SCJRL,JARAGUA S R L,SUB JARAGUA DO SUL RIO DA LUZ SC
SCMJA,MARACAJA,SUB MARACAJA SC
SCMWE,MALWEE,SUB MALWEE SC
SCWTL,WETZEL,SUB WETZEL SC
SCJVU,JOINVILLE 1,SUB JOINVILLE 1 SC
SCJVT,JOINVILLE 3,SUB JOINVILLE 3 SC
SCTPY,TUPY,SUB TUPY SC
RSLAJ3,LAJEADO III,SUB LAJEADO III RS
RSVIN,VINHEDOS,SUB VINHEDOS RS
MSCGR2,CAMPO GRANDE2,SUB CAMPO GRANDE II MS
PRTNG,TANGARA,SUB TANGARA PR
PRVLV,VOLVO,SUB VOLVO PR
PRARI,ARAUCARIA,SUB ARAUCARIA PR
PRLCT,LACTA,SUB LACTA PR
PRBQR,BOQUEIRAO,SUB BOQUEIRAO PR
PRPRT,PORTAL,SUB PORTAL PR
PRPCG,PCG,SUB PLANTA DE CONDICIONAMENTO DE GAS PR
PRPRO,PINHEIRINHO,SUB PINHEIRINHO PR
MTCJPI,CJ PARECIS,USI CONJUNTO PARECIS MT
GOCJQR,CJ QUIRINOPOL,USI CONJUNTO QUIRINOPOLIS GO
PRMRC,MERCES,SUB MERCES PR
PRCCB,CENTRO,SUB CENTRO CURITIBA PR
PRRBC,R BRANCO S,SUB RIO BRANCO DO SUL PR
PRCPC,COPACOL,SUB COPACOL PR
PRTMO,TAMOIO,SUB TAMOIO PR
PRIGP,SE IGAPO,SUB IGAPO PR
PRSMI,SEMIRAMIS,SUB SEMIRAMIS PR
PRCLB,COLOMBO,SUB COLOMBO PR
PRGTB,GUARAITUBA,SUB GUARAITUBA PR
PRATB,ATUBA,SUB ATUBA PR
PRBCH,BACACHERI,SUB BACACHERI PR
PRAGL,A. DA GLORIA,SUB ALTO DA GLORIA PR
PRCPN,CAPANEMA,SUB CAPANEMA PR
PRBTL,BATEL,SUB BATEL PR
SPFDI,FERNAO DIAS,SUB FERNAO DIAS SP
PRTCO,TOMAZ COELHO,SUB TOMAZ COELHO PR
PRGTP,GUATUPE,SUB GUATUPE PR
PRBSC,BOSCH,SUB BOSCH PR
PRCPA,COCELPA,SUB COCELPA PR
PRNHL,NEW HOLLAND,SUB NEW HOLLAND PR
PRSJP,S J D PINHAIS,SUB SAO JOSE DOS PINHAIS PR
PRPRO1,PAROLIN,SUB PAROLIN PR
PRMGA3,MARINGA 3,SUB MARINGA 3 PR
PRRFP,REFRIPAR,SUB REFRIPAR PR
PRPPC,PLACAS PR CTB,SUB PLACAS DO PARANA CURITIBA PR
PRCOP,COPAVEL,SUB COPAVEL PR
PRGRU,GERDAU,SUB GERDAU PR
PRMRT,MORRETES,SUB MORRETES PR
MGIGPD,IGARAPE 2,SUB IGARAPE 2 MG
PRSMO,SALTO DO MEIO,SUB SALTO DO MEIO PR
PRTRM,TARUMA,SUB TARUMA PR
PRMVA,MARIALVA,SUB MARIALVA PR
PRCDA,COMPARTILHADA,SUB COMPARTILHADA SC
GOUTNA,NARDINI APORE,USI UTE NARDINI APORE GO
MSCJCH,CJ CHAPADAO,USI CONJUNTO CHAPADAO MS
SPBER4,BERTIOGA 4,SUB BERTIOGA 4 SP
APSAJ,STO.ANT.JARI,USI SANTO ANTONIO DO JARI AP
CETBA,TAIBA,SUB TAIBA CE
CEUEAG,TBA_TAIBA AGUIA,USI TBA_TAIBA AGUIA CE
CEUEAD,TBA_TAIBA ANDOR,USI TBA_TAIBA ANDORINHA CE
CEUECL,TBA_COLONIA,USI TBA_COLONIA CE
ESITO,ITAPOA,SUB ITAPOA ES
AMPN,SE PONTA NEGRA,SUB SE PONTA NEGRA AM
AMGE,PONTA NEGRA,USI UTE PONTA NEGRA AM
ESSGOB,GOIABEIRAS,SUB GOIABEIRAS ES
ESSMAN,MANGUINHOS,SUB MANGUINHOS ES
ESSVIR,VILA RICA,SUB VILA RICA ES
ESSRQU,RIO QUARTEL,SUB RIO QUARTEL ES
ESSVNO,VENDA NOVA,SUB VENDA NOVA ES
ESSPRT,PARATI,SUB PARATI ES
ESSBGU,BAIXO GUANDU,SUB BAIXO GUANDU ES
ESSBRI,B. DO RIACHO,SUB BARRA DO RIACHO ES
ESSPLT,PAULISTA,SUB PAULISTA ES
GOVTM,VOTORANTIM ME,SUB VOTORANTIM METAIS GO
RNUEV1,UVT_UNIAO VNT 1,USI UVT_UNIAO DOS VENTOS 1 RN
RNUEV2,UVT_UNIAO VNT 2,USI UVT_UNIAO DOS VENTOS 2 RN
RNUEV3,UVT_UNIAO VNT 3,USI UVT_UNIAO DOS VENTOS 3 RN
RNUEV4,UVT_UNIAO VNT 4,USI UVT_UNIAO DOS VENTOS 4 RN
RNUEV5,UVT_UNIAO VNT 5,USI UVT_UNIAO DOS VENTOS 5 RN
RNUEV6,UVT_UNIAO VNT 6,USI UVT_UNIAO DOS VENTOS 6 RN
RNUEV7,UVT_UNIAO VNT 7,USI UVT_UNIAO DOS VENTOS 7 RN
RNUEV8,UVT_UNIAO VNT 8,USI UVT_UNIAO DOS VENTOS 8 RN
RNUEV9,UVT_UNIAO VNT 9,USI UVT_UNIAO DOS VENTOS 9 RN
RNUEVX,UVT_UNIAO VNT10,USI UVT_UNIAO DOS VENTOS 10 RN
RNCCA,CAICARA,SUB CAICARA RN
RNPTG,POTIGUARES,SUB POTIGUARES RN
RNUVT,UNIAO VENTOS,SUB UNIAO DOS VENTOS RN
SPCER2,CERQUILHO 2,SUB CERQUILHP 2 ELEKTRO SP
SPNES0,NESTLE ELK,SUB NESTLE ELEKTRO SP
SPRIS0,RIPASA,SUB RIPASA ELEKTRO SP
SPTEK0,TEKA ELK,SUB TEKA ELEKTRO SP
SPARM0,ARVIN MERITOR,SUB ARVIN MERITOR SP
SPJAR2,JARINU 2,SUB JARINU 2 SP
SPSCH0,SCHAEFFLER,SUB SCHAEFFLER SP
MSCHS,CHAPADAO SUL,SUB CHAPADAO DO SUL MS
SPUNI,UNIVALEM,SUB UNIVALEM SP
SPUTUN,UTE UNIVALEM,USI UTE UNIVALEM SP
SPATH,ATHENAS,SUB ATHENAS SP
SPAUS,AUSTA,SUB AUSTA SP
SPBNH,BARRINHA 1,SUB BARRINHA 1 SP
SPBAT1,BATATAIS 1,SUB BATATAIS 1 SP
SPBAN0,BANDEIRANTES D,SUB BANDEIRANTES CPFL SP
SPBAB0,BARBARENSE,SUB BARBARENSE SP
SPBOA,BOA VISTA,SUB BOA VISTA SP
SPBDQ,BRODOWSKI 1,SUB BRODOWSKI 1 SP
SPABR,AMERICO BRA.,SUB AMERICO BRASILIENSE 1 SP
SPDOB,DOBRADA,SUB DOBRADA SP
SPESM,ESMERALDA,SUB ESMERALDA SP
SPJAB1,JABOTICABAL,SUB JABOTICABAL SP
SPPRG,PROGRESSO,SUB PROGRESSO SP
SPRIN,RINCAO,SUB RINCAO SP
SPSAD,STA ADELIA,SUB SANTA ADELIA SP
SPANH2,ANHANGUERA 1,SUB ANHANGUERA 1 SP
SPCAR1,CARIOBA,SUB CARIOBA SP
GOAMBG,AMBEV GOIANIA,SUB AMBEV GOIANIA GO
BAESGA,PBR_7 GAMELEIRA,USI PBR_SETE GAMELEIRAS BA
BAESPL,PBR_S PEDRO LAG,USI PBR_SAO PEDRO DO LAGO BA
BAEPBR,PBR_PEDRA BRANC,USI PBR_PEDRA BRANCA BA
BACPBR,PEDRA BRANCA,SUB PEDRA BRANCA BA
PEUTPT,UTE PERNAMB.3,USI UTE PERNAMBUCO III PE
RNSEMV,MORRO VENTOS,SUB MORRO DOS VENTOS RN
CEEICU,ICR_ICARAI I,USI ICR_ICARAI I CE
CEEICD,ICR_ICARAI II,USI ICR_ICARAI II CE
CESEIC,ICARAI,SUB ICARAI CE
SPSERP,REPLAN,SUB REPLAN CTEEP SP
CEEBCO,ICR_BOCA CORREG,USI ICR_BOCA DO CORREGO CE
CEERIB,ICR_RIBEIRAO,USI ICR_RIBEIRAO CE
CEEIGR,ICR_ILHA GRANDE,USI ICR_ILHA GRANDE CE
SPCPD,CHAPADAO,SUB CHAPADAO SP
SPCDJ,CIDADE JARDIM,SUB CIDADE JARDIM SP
SPCMO,COSMOPOLIS,SUB COSMOPOLIS SP
SPCPI,COSTA PINTO,SUB COSTA PINTO SP
SPCAP1,CAPIVARI,SUB CAPIVARI SP
SPCRO,CRUZEIRO,SUB CRUZEIRO SP
SPFZV,FAZENDA VELHA,SUB FAZENDA VELHA SP
SPVTR,VITORIA,SUB GARCA 1 VITORIA SP
SPYHO,HONDA,SUB HONDA SP
PRPNS,PINHAIS,SUB PINHAIS PR
RNSESC,SANTA CLARA,SUB SANTA CLARA RN
PAUPIM,UHE PIMENTAL,USI UHE PIMENTAL PA
SPYBE,BELGO MINEIRA,SUB BELGO MINEIRA HORTOLANDIA SP
SPAME,AMERICANA,SUB AMERICANA SP
SPIPE1,IPE,SUB IPE AMERICANA 5 SP
SPJAR1,JARDIM,SUB JARDIM AMERICANA SP
SPMOR,MONTE MOR,SUB MONTE MOR 1 SP
SPMAZ,MORRO AZUL,SUB MORRO AZUL HORTOLANDIA 2 SP
SPMBI,MORUMBI,SUB MORUMBI PAULINIA 2 SP
SPNZE,NAZARE,SUB NAZARE PIRACICABA 6 SP
SPNDA,NOTRE DAME,SUB NOTRE DAME CAMPINAS 13 SP
SPNOD1,NOVA ODESSA,SUB NOVA ODESSA SP
SPNVE,NOVA VENEZA,SUB NOVA VENEZA SUMARE 5 SP
SPPAU,PAULISTA,SUB PAULISTA SP
SPYWM,W.MPIRACICABA,SUB WHITE MARTINS PIRACICABA SP
SPYWH,W.M.AMERICANA,SUB WHITE MARTINS AMERICANA SP
MASO,S.ANTON LOPES,SUB SANTO ANTONIO DOS LOPES MA
SPUNE,UNILESTE,SUB UNILESTE SP
MAUTM4,UT.MARANHAO 4,USI UTE MARANHAO IV MA
MAUTM5,UT.MARANHAO 5,USI UTE MARANHAO V MA
SPQLB,QUILOMBO,SUB QUILOMBO SUMARE 3 SP
SPRPE,RIO PEDRAS,SUB RIO DAS PEDRAS SP
SPSAC1,SACI,SUB SACI VALINHOS 3 SP
SPSPD,SAO PEDRO,SUB SAO PEDRO SP
SPSUM,SUMARE CPFL,SUB SUMARE CPFL SP
MASEPN,PARNAIBA,SUB PARNAIBA MA
SPPIO1,PIONEIROS 1,SUB PIONEIROS SAO JOAQUIM BARRA 3 SP
SPPAU1,PAULINIA,SUB PAULINIA SP
SPCOB1,COLOMBIA 1,SUB COLOMBIA 1 SP
SPCOG,CONGONHAS,SUB CONGONHAS SP
SPGAV,GAVEA,SUB GAVEA SP
SPGNB,GUANABARA,SUB GUANABARA SP
SPHOR,HORTOLANDIA,SUB HORTOLANDIA SP
SPHMA,HUMAITA,SUB HUMAITA SP
SPIPU,IPUA,SUB IPUA SP
SPJDN,JARDINOPOLIS,SUB JARDINOPOLIS 1 SP
SPLEO,LEAO 13,SUB LEAO XIII SP
SPPDS,PRADOPOLIS,SUB PRADOPOLIS SP
SPSCE,SANTA CECILIA,SUB SANTA CECILIA SP
SPSSI,SAO SIMAO,SUB SAO SIMAO SP
SPSTZ,SERTAOZINHO,SUB SERTAOZINHO SP
SPRES,RESENDE,SUB RESENDE FRANCA 2 SP
SPAMC,AMERICA,SUB AMERICA SP
SPCLN,COLINA,SUB COLINA 1 SP
SPDMT,DIAMANTE,SUB DIAMANTE SP
SPYBT,FRIG.BERTIN,SUB FRIGORIFICO BERTIN SP
SPYCC,CANATI.MATRIZ,SUB CANATIBA MATRIZ SP
SPYCB,CANATI.TUPIS,SUB CANATIBA TUPIS SP
SPCIL,CILLOS,SUB CILLOS SP
SPYCV,CEVASA,SUB CEVASA SP
SPRGD,CO2.R. GRANDE,SUB COLOMBIA 2 RIO GRANDE SP
SPDIC,DIC,SUB DIC CAMPINAS 15 SP
SPEFA,ELIAS FAUSTO,SUB ELIAS FAUSTO SP
SPMDS,MORADA DO SOL,SUB MORADA DO SOL SP
SPOQD,ORQUIDIA,SUB ORQUIDIA SP
SPYPE,PETR.PAULINIA,SUB PETROQUIMICA PAULINIA SP
SPSCA1,SAO CARLOS 1,SUB SAO CARLOS 1 SP
SPSJN,S.J.R.P.NORTE,SUB SAO JOSE DO RIO PRETO NORTE SP
SPTVA,TAIUVA,SUB TAIUVA SP
SPYEG,USI GUAIRA,USI GUAIRA SP
SPFSA,FERRAZ SALLES,SUB FERRAZ SALLES SP
SPPMI,PIRACICAMIRIM,SUB PIRACICAMIRIM SP
SPYTA,TAVEX BRASIL,SUB TAVEX BRASIL SP
SPITU,ITU,SUB ITU SP
SPYAL,TREIBACHER,SUB TREIBACHER SP
SPYUL,V FERTI R SERRA,SUB VALE FERTILIZANTES RAIZ DA SERRA SP
SPMSE,MONT SERRAT,SUB CAPACITORES MONT SERRAT SP
SPUSA1,US.ST.ANTONIO,USI SANTO ANTONIO SERTAOZINHO 3 SP
SPTRP,TROPICAL,SUB TROPICAL LINS 2 SP
SCFAA,F.AGRONOMICA,SUB FLORIANOPOLIS AGRONOMICA SC
SPITB,ITAMBE,SUB ITAMBE SP
SPDUA,DUARTINA,SUB DUARTINA SP
RSJQR,JAQUIRANA,SUB JAQUIRANA RS
RSEOS2,EOL OSORIO 2,USI OSORIO 2 RS
RSEOS3,EOL OSORIO 3,USI OSORIO 3 RS
PRUHBI,UH BAIXO IGUACU,USI UHE BAIXO IGUACU PR
SPYHF,HALOTEK FADEL,SUB HALOTEK FADEL SP
SPSTE1,S TEREZIN EBB,SUB SANTA TEREZINHA EEB SP
SPCVE1,CAMPO VERDE,SUB CAMPO VERDE SP
SPSAT1,CAPAC. SALTO,SUB CAPACITORES SALTO SP
SPTRA,C.TRABALHADOR,SUB CAPACITORES TRABALHADORES SP
SPYVS,CPIC FIBRAS,SUB CPIC BRASIL FIBRAS SP
SPYPY,HOPI HARI,SUB HOPI HARI SP
SPYCE,C.L. ANTONIO,SUB LA CELULOSE LUIZ ANTONIO SP
SPYIP,OJI PAPEIS,SUB OJI PAPEIS SP
SPYPQ,PETRO.COQUE 2,SUB PETROBRAS COQUE II SP
SPYQU,PETR. CUBATAO,SUB PETROCOQUE CUBATAO SP
SPYPC,PRY. SOROCABA,SUB PRYSMIAN SOROCABA SP
SPSBE,SAO BENTO,SUB SAO BENTO SP
SPANH3,PH ANHANGUERA,USI PCH ANHANGUERA SP
SPYBV,UTE IBITIUVA,USI UTE IBITIUVA SP
SPCAT2,CATANDUVA 2,SUB CATANDUVA II SP
SPYSR,VALE FERTIL.,SUB VALE FERTILIZANTES SP
SPYVL,VIRALCOOL,SUB VIRALCOOL SP
SPCHAG,UT CHAPADAO,USI UTE CHAPADAO AGROENERGIA SP
DFSERF,RIACHO FUNDO,SUB RIACHO FUNDO DF
DFSE06,SUBESTACAO 06,SUB SUBESTACAO 06 DF
ACSAAV,A. AVIARIO,SUB SUB SUPERMERCADO ARAUJO AVIARIO AC
ACSACM,A. CHICO MEND,SUB SUPERMERCADO ARAUJO CHICO MENDES AC
ACSATG,A. TANGARA,SUB SUPERMERCADO ARAUJO TANGARA AC
ALCPSM,CIMPOR S.M.C.,SUB CIMPOR SAO MIGUEL DOS CAMPOS AL
ALPEPR,PERIPERI,SUB PERIPERI AL
ALRNMC,RENNER MACEIO,SUB RENNER MACEIO AL
ALZBD,ZEBU 2,SUB ZEBU 2 AL
AMAA,APARECIDA,USI UTE APARECIDA AM
AMCD,CIDADE NOVA,SUB CIDADE NOVA AM
AMDD,DISTRITO DOIS,SUB DISTRITO DOIS AM
AMJA,UTE JARAQUI,USI UTE JARAQUI AM
AMMU,MAUA BLOCO 4,USI UTE MAUA BLOCO IV AM
AMSE,ST ETELVINA,SUB SANTA ETELVINA AM
AMSO,SANTO ANTONIO,SUB SANTO ANTONIO AM
AMTA,TAMBAQUI,USI UTE TAMBAQUI AM
PAPAB,PARAUAPEBAS,SUB PARAUAPEBAS PA
APSTNA,UTE SANTANA ?,USI UTE SANTANA AP
BAABCM,AMBEV CAMACAR,SUB AMBEV CAMACARI BA
BAAZCA,AM CALCADOS,SUB AMAZONAS CALCADOS BA
BABBOM,BOM BRASIL OL,SUB BOM BRASIL OLEO DE MAMONA BA
BABCIL,B CALLEBAUT I,SUB BARRY CALLEBAUT ILHEUS BA
BABKCA,BRASKEM CAMA.,SUB BRASKEM CAMACARI BA
BABMXE,BOMIX EMBALA.,SUB BOMIX EMBALAGENS BA
BABPBO,BOMPRECO BONO,SUB BOMPRECO BONOCO BA
BABPCH,BOMBRECO C.C.,SUB BOMBRECO CHAME CHAME BA
BABPHS,BOMPRECO B517,SUB BOMPRECO B517 HIPER SALVADOR BA
BACECM,CERAMUS CAMA.,SUB CERAMUS CAMACARI BA
BACRAS,COR. ARROZ. S,SUB CORREGO DO ARROZ SALOBRO BA
BACTEI,CATA T.E.I,SUB CATA TECIDOS E EMBALAGENS INDUSTRIAIS BA
BAEPCK,ENGEPACK S.F.,SUB ENGEPACK SIMOES FILHO BA
BAFAMO,FAFEN AMONIA,SUB FAFEN AMONIA CANDEIAS BA
BAFBES,FIB E. DE SA,SUB FIB ESTACIO DE SA BA
BAFTV1,FORTLEV 1,SUB FORTLEV 1 BA
BAFTV2,FORTLEV 2,SUB FORTLEV 2 BA
BAHAL,HOS. ALIANCA,SUB HOSPITAL ALIANCA BA
BALGCM,LINDE CAMA.,SUB SUB LINDE GASES CAMACARI BA
BANRSC,NORSA CONQUI.,SUB NORSA CONQUISTA BA
BAPLP,PLASCHIO P.C.,SUB PLASCHIO PLASTICOS CONQUISTA BA
BARNBR,RENNER S.B.,SUB RENNER SHOPPING BARRA BA
BASALC,SARA LEE CAFE,SUB SARA LEE CAFES PIRAJA BA
BASCPP,SANTA CASA P.,SUB SANTA CASA PUPILEIRA BA
BASCSI,SANTA CASA SI,SUB SANTA CASA HOSP STA IZABEL BA
CEABAQ,AMBEV AQUIRAZ,SUB SUB AMBEV AQUIRAZ CE
CEACOC,ACO CE. CAUCA,SUB ACO CEARENCE CAUCAIA CE
CEBPJG,BOMPRECO JG,SUB BOMPRECO JAGARECANGA CE
CEBVCF,B VIZINHO CMF,SUB BOM VIZINHO CIRILO MESSEJANA FORTALEZA CE
CEBVCI,B VIZINHO CI,SUB BOM VIZINHO COQUEIROS ITAPIPOCA CE
CEBVG1,B VIZINHO G1,SUB BOM VIZINHO GODOFREDO 1 FORTALEZA CE
CEBVG2,B VIZINHO G2,SUB SUB BOM VIZINHO GODOFREDO 2 FORTALEZA CE
CEBVLN,B VIZINHO LN,SUB BOM VIZINHO LIMOEIRO DO NORTE CE
CEBVSB,B VIZINHO JS,SUB BOM VIZINHO JUNCO SOBRAL CE
CEBVWH,B VIZINHO ALI,SUB BOM VIZINHO ALIMENTOS CE
CECACE,CEA MODAS C,SUB CEA MODAS CENTRO CE
CECACR,CASCAVEL COUR,SUB CASCAVEL COUROS CE
CECBAF,CBD ALDEOTA,SUB CBD ALDEOTA FORTALEZA CE
CECBMF,CBD MEIRELES,SUB CBD MEIRELES FORTALEZA CE
CECBPF,CBD PAPICU,SUB CBD PAPICU FORTALEZA CE
CEFGDT, FRANGO. D.T.,SUB FRANGOLANDIA DIONISIO TORRES CE
CEFGMN,FRANGO. MARA.,SUB FRANGOLANDIA MARACANAU CE
CEFGPA,FRANGO. P.A.,SUB FRANGOLANDIA PARQUE ARAXA CE
CEFGVJ,FRANGO. VAR.,SUB FRANGOLANDIA VARJOTA CE
CEFSA,FAISA,SUB FAISA CE
CEISOP,ISOPLAST MARA,SUB ISOPLAST MARACANAU CE
CEJGA,JAGUARUANA,SUB JAGUARUANA CE
SPYRT,PCH RETIRO,USI PCH RETIRO SP
CEMQEF,MARQUISE FORT,SUB MARQUISE EMPREENDIMENTOS FORTALEZA CE
CEMSRF,M. SABOR REFR,SUB MAIS SABOR REFRIGERANTES FORTALEZA CE
CEMWCA,MWM COMERCIAL,SUB MWM COMERCIAL ALIMENTOS LTDA CE
CEMWCD,MWN CID. 2000,SUB MWN CIDADE 2000 CE
CEMWPG,MWN PARANGABA,SUB MWN PARANGABA CE
CENORM,NORSA REFRI,SUB NORSA REFRIGERANTE CE
CEPAFO,P. ACUCAR FOR,SUB SUB PAO DE ACUCAR FORTALEZA CE
CERCCF,RIACHUELO CEN,SUB RIACHUELO CENTRO FORTALEZA CE
ESBAIZ,BUAIZ ALIMENT,SUB BUAIZ ALIMENTOS ES
ESCACO,CEA SHOP P C,SUB CEA SHOPPING PRAIA DA COSTA ES
ESCASM,CEA SHOP M A,SUB CEA SHOPPING MESTRE ALVARO ES
ESCSHV,CEA MODAS,SUB CEA MODAS SHOPPING VITORIA ES
ESGZVI,REDE GAZETA V,SUB REDE GAZETA VITORIA ES
ESMVIT,MOVEIS ITATIA,SUB MOVEIS ITATIAIA ES
ESSBVV,S BOULEVARD,SUB SHOPPING BOULEVARD VILA VELHA ES
ESSELI,SELITA,SUB SELITA ES
ESSROQ,SAO ROQUE,SUB SAO ROQUE ES
ESTEOI,TELE OI ROSA,SUB TELEMAR OI ROSARIO ES
ESTOCH,TELE OI CACHO,SUB TELEMAR OI CACHOEIRO ES
MGAAY,ARACAGI CEMIG,SUB ARACAGI (CEMIG) MG
MGAGFG,AGROGEN F S L,SUB AGROGEN FRIGORIFICO SETE LAGOAS MG
MGAGRC,AGROGEN R S L,SUB AGROGEN RACAO SETE LAGOAS MG
MGANJ,CGH ANJOS,SUB CGH ANJOS MG
MGBM38,CENCOSUD M C,SUB CENCOSUD BRETAS MONTES CLAROS LOJA 238 MG
MGBU13,CENCOSUD U213,SUB CENCOSUD BRETAS UBERLANDIA LJ 213 MG
MGBU14,CENCOSUD U214,SUB CENCOSUD BRETAS UBERLANDIA LJ 214 MG
MGBU18,CENCOSUD U218,SUB CENCOSUD BRETAS UBERLANDIA LJ 218 MG
DFSESW,SUDOESTE,SUB SUDOESTE CEB DF
MTCLR,COLIDER,USI COLIDER MT
PRPSG,PASSO IGUA�U,SUB PASSO DO IGUA�U PR
SCGAR,UHE GARIBALDI,USI UHE GARIBALDI SC
SCUHSR,UHE SAO ROQUE,USI UHE SAO ROQUE SC
SCTRA,TANGARA CSC,SUB TANGARA CELESC SC
DFSE03,SUBESTACAO 03,SUB SUBESTACAO 03 DF
RNUEA1,RIA_RIACHAO 1,USI RIA_RIACHAO 1 RN
RNUEA2,RIA_RIACHAO 2,USI RIA_RIACHAO 2 RN
RNUEA4,RIA_RIACHAO 4,USI RIA_RIACHAO 4 RN
RNUEA6,RIA_RIACHAO 6,USI RIA_RIACHAO 6 RN
RNUEA7,RIA_RIACHAO 7,USI RIA_RIACHAO 7 RN
RNRCH,RIACHAO,SUB RIACHAO RN
RJALC1,ALD.CAMPISTA,SUB ALDEIA CAMPISTA RJ
SCQLO,QUILOMBO,SUB QUILOMBO SC
CEUEF1,FSA_FAISA 1,USI FSA_FAISA 1 CE
CEUEF2,FSA_FAISA 2,USI FSA_FAISA 2 CE
CEUEF3,FSA_FAISA 3,USI FSA_FAISA 3 CE
CEUEF4,FSA_FAISA 4,USI FSA_FAISA 4 CE
CEUEF5,FSA_FAISA 5,USI FSA_FAISA 5 CE
CEUEEM,FSA_EMBUACA,USI FSA_EMBUACA CE
RSZOO,SAO LEOPOLDO 2,SUB SAO LEOPOLDO 2 RS
CEUEMU,TRA_MUNDAU,USI TRA_MUNDAU CE
CEUEGU,TRA_GUAJIRU,USI TRA_GUAJIRU CE
CEUETR,TRA_TRAIRI,USI TRA_TRAIRI CE
CEUEFL,TRA_FLEIXEIRA I,USI TRA_FLEIXEIRAS I CE
CETRA,TRAIRI,SUB TRAIRI CE
GOCJJT,CJ JATAI,USI CONJUNTO JATAI GO
RSSAO,S.AN.PATRULHA,SUB SANTO ANTONIO DA PATRULHA RS
RSEST,ESTEIO,SUB ESTEIO RS
PESPF,SEC.PAU FERRO,SUB SECCIONADORA PAU FERRO PE
PRMDU,MANDACARU,SUB MANDACARU PR
PEARN,ARENA PERNAM.,SUB ARENA PERNAMBUCO PE
PEVZA,VARZEA,SUB VARZEA CELPE PE
RSPEL2,PELOTAS 2,SUB PELOTAS 2 RS
GOCCMT,CACHOEIRA MET,SUB CACHOEIRA METAIS GO
GOFLLZ,FLORA LUZIANI,SUB FLORA LUZIANIA GO
GOMBOF,MATABOI S.FE,SUB SUB MATABOI SANTA FE DE GOIAS GO
GOMJHI,MARAJOARA HID,SUB MARAJOARA HIDROLANDIA GO
GOSCAL,SCHIN ALEXANI,SUB SUB SCHINCARIOL ALEXANIA GO
GOSFAI,SP FRANGO ABAT,SUB SUPER FRANGO ABATEDOURO ITABERAI GO
GOUCEM,UTE CEM,SUB UTE CEM GO
MABPCL,BOMPRECO CALH,SUB BOMPRECO CALHAU MA
MABPSF,BOMPRECO S.F,SUB BOMPRECO SAO FRANCISCO MA
MAVCNN,VCNNE S LUIS,SUB VCNNE SAO LUIS MA
MGBU20,CENCOSUD U220,SUB CENCOSUD BRETAS UBERLANDIA LJ 220 MG
MGBV17,CENCOSUD V217,SUB CENCOSUD BRETAS VARGINHA LJ 217 MG
MGCABO,CEA BOULEVARD,SUB CEA BOULEVARD MG
MGCAMC,CEA M CLAROS,SUB CEA MONTES CLAROS MG
MGCASL,CEA 7 LAGOAS,SUB SUB CEA SETE LAGOAS MG
MGCAUB,CA SHOP UBERA,SUB CEA SHOPPING UBERABA MG
MGCBAM,CBA MIRAI,SUB COMPANHIA BRASILEIRA DE ALUMINIO CBA MIRAI MG
MGCBCF,CENCOSUD C FA,SUB SUB CENCOSUD BRETAS CORONEL FABRICIANO MG
MGCBIB,CENCOSUD ITAB,SUB CENCOSUD BRETAS ITABIRA MG
MGCBMC,CENCOSUD M C,SUB CENCOSUD BRETAS MONTES CLAROS MG
MGCBPT,CENCOSUD PARA,SUB CENCOSUD BRETAS PARACATU MG
MGCBUB,CENCOSUD UBER,SUB CENCOSUD BRETAS UBERABA MG
BAFNV,FONTE NOVA,SUB FONTE NOVA BA
BACEN,CENTRAL,SUB CENTRAL BA
BALPN,LAPINHA,SUB LAPINHA BA
MGCGSC,CGH SAO JOAO,SUB CGH SAO JOAO - GER LIQ CGH SAO JOAO MG
MGCPLL,CPLL LEOPOLDI,SUB CPLL LEOPOLDINA MG
MGDAUT,DURA AUTO,SUB DURA AUTO MG
MGFIR1,FIORI UNID. 1,SUB FIORI UNIDADE 1 MG
MGFIR2,FIORI UNID. 2,SUB FIORI UNIDADE 2 MG
MGHMDG,HOME DESIGN,SUB HOME DESIGN UBA MG
MGIB23,IVAN BOTELHO,SUB SECC. IVAN BOTELHO II-III MG
MGIMOP,IMOP UBA,SUB IMOP UBA MG
MGITAC,ITAU POWER,SUB CONDOMINIO ITAU POWER SHOP MG
MGMRBH,MRS LOGISTICA,SUB MRS LOGISTICA BELO HORIZONTE MG
MGMTGV,META GALVANIZ,SUB META GALVANIZACAO MG
MGMTPM,METALLOX,SUB METALLOX PARA DE MINAS MG
MGMTSL,MULTITECNICA,SUB MULTITECNICA SETE LAGOAS MG
MGNMKB,NEMAK BETIM,SUB NEMAK BETIM MG
BALDF,LAURO FREITAS,SUB LAURO FREITAS BA
