eqp_id,age_id,descricao,instalacao_de,instalacao_para
AMMN--0CD--1,ME,LT 69 kV MANAUS / CIDADE NOVA C 1 AM,AMMN,AMCD
AMMN--0DI--1,ME,LT 69 kV MANAUS / D.INDUSTRIAL C 1 AM,AMMN,AMDI
AMMN--0DI--2,ME,LT 69 kV MANAUS / D.INDUSTRIAL C 2 AM,AMMN,AMDI
AMMN--0FL--1,ME,LT 69 kV MANAUS / FLORES C 1 AM,AMMN,AMFL
AMMN--0FL--2,ME,LT 69 kV MANAUS / FLORES C 2 AM,AMMN,AMFL
AMMN--0FL--3,ME,LT 69 kV MANAUS / FLORES C 3 AM,AMMN,AMFL
AMMN--0MT--1,ME,LT 69 kV MANAUS / MAUA III C 1 AM,AMMN,AMMT
AMMN--0MU--1,ME,LT 69 kV MANAUS / SE MAUA C 1 AM,AMMN,AMMU-1
AMMN--0SG--1,ME,LT 69 kV MANAUS / SERINGAL MIRIM C 1 AM,AMMN,AMSG
AMMN--0SG--2,ME,LT 69 kV MANAUS / SERINGAL MIRIM C 2 AM,AMMN,AMSG
AMMT--0CD--1,ME,LT 69 kV MAUA III / CIDADE NOVA C 1 AM,AMMT,AMCD
AMMT--0DD--1,ME,LT 69 kV MAUA III / DISTRITO DOIS C 1 AM,AMMT,AMDD
AMMT--0DD--2,ME,LT 69 kV MAUA III / DISTRITO DOIS C 2 AM,AMMT,AMDD
AMMT--0DI--1,ME,LT 69 kV MAUA III / D.INDUSTRIAL C 1 AM,AMMT,AMDI
AMMT--0DI--2,ME,LT 69 kV MAUA III / D.INDUSTRIAL C 2 AM,AMMT,AMDI
AMMT--0MG--1,ME,LT 69 kV MAUA III / MAUA GERAL C 1 AM,AMMT,AMMG
AMMT--0MG--2,ME,LT 69 kV MAUA III / MAUA GERAL C 2 AM,AMMT,AMMG
AMMT--0MR--1,ME,LT 69 kV MAUA III / MARAPATA C 1 AM,AMMT,AMMR
AMMT--0MU--1,ME,LT 69 kV MAUA III / SE MAUA C 1 AM,AMMT,AMMU-1
AMMT--0SJ--1,ME,LT 69 kV MAUA III / SAO JOSE C 1 AM,AMMT,AMSJ
AMMT--0SJ--2,AMD,LT 69 kV MAUA III / SAO JOSE C 2 AM,AMMT,AMSJ
AMMT--0SJ1-1,ME,LT 69 kV MAUA III / UT SAO JOSE C 1 AM,AMMT,AMSJ1
AMMT--2MN--1,G20,LT 230 kV MAUA III / MANAUS C 1 AM,AMMT,AMMN
AMMU--0DD--1,ME,LT 69 kV SE MAUA / DISTRITO DOIS C 1 AM,AMMU-1,AMDD
AMMU--0DD--2,ME,LT 69 kV SE MAUA / DISTRITO DOIS C 2 AM,AMMU-1,AMDD
AMMU--0DI--1,ME,LT 69 kV SE MAUA / D.INDUSTRIAL C 1 AM,AMMU-1,AMDI
AMMU--0MG--1,ME,LT 69 kV SE MAUA / MAUA GERAL C 1 AM,AMMU-1,AMMG
AMMU--0MR--1,ME,LT 69 kV SE MAUA / MARAPATA C 1 AM,AMMU-1,AMMR
AMMU3-0MU--1,AMD,LT 69 kV MAUA BLOCO 3 / SE MAUA C 1 AM,AMMU3,AMMU-1
AMMU3-0MU--2,ENT,LT 69 kV MAUA BLOCO 3 / SE MAUA C 2 AM,AMMU3,AMMU-1
AMMU4-0DI--2,ME,LT 69 kV MAUA BLOCO 4 / D.INDUSTRIAL C 2 AM,AMMU,AMDI
AMMU4-0MG--2,AMD,LT 69 kV MAUA BLOCO 4 / MAUA GERAL C 1 AM,AMMU,AMMG
AMPN--0PS--1,ME,LT 69 kV SE PONTA NEGRA / P DO ISMAEL C 1 AM,AMPN,AMPS
AMPO--2CR--1,ONS,LT 230 kV PORAQUE / CRISTIANO ROCHA C 1 AM,AMCR,AMCR-1
AMPO--2CR--2,ONS,LT 230 kV PORAQUE / CRISTIANO ROCHA C 2 AM,AMCR,AMCR-1
AMPO--2CR--3,ONS,LT 230 kV PORAQUE / CRISTIANO ROCHA C 3 AM,AMCR,AMCR-1
AMPO--2CR--4,ONS,LT 230 kV PORAQUE / CRISTIANO ROCHA C 4 AM,AMCR,AMCR-1
AMPO--2CR--5,ONS,LT 230 kV PORAQUE / CRISTIANO ROCHA C 5 AM,AMCR,AMCR-1
AMPO--2CR--6,ONS,LT 230 kV PORAQUE / CRISTIANO ROCHA C 6 AM,AMCR,AMCR-1
AMRE--0PN--1,ME,LT 69 kV REDENCAO / SE PONTA NEGRA C 1 AM,AMRE,AMPN
AMRE--0PN--2,ME,LT 69 kV REDENCAO / SE PONTA NEGRA C 2 AM,AMRE,AMPN
AMSG--0CC--1,ME,LT 69 kV SERINGAL MIRIM / CACHOEIRINHA C 1 AM,AMSG,AMCC
AMSJ--0MN--1,ME,LT 69 kV SAO JOSE / MANAUS C 1 AM,AMSJ,AMMN
AMSO--0JA--1,JEF,LT 69 kV SANTO ANTONIO / UTE JARAQUI C 1 AM,AMSO,AMJA
AMSO--0MN--1,ME,LT 69 kV SANTO ANTONIO / MANAUS C 1 AM,AMSO,AMMN
AMTA--0DD--1,JEF,LT 69 kV TAMBAQUI / DISTRITO DOIS C 1 AM,AMTA,AMDD
AMUTAZ5AZL-1,MP1,LT 500 kV UTE AZULAO / AZULAO C 1 AM,AMUTAZ,AMAZL
AMUTMU1DT--1,JAM,LT 138 kV UTE MANAUS I / DISTRITO TRES C 1 AM,MAUTMU,AMDT
AMUTZ25AZL-1,E1N,LT 500 kV UTE AZULAO II / AZULAO C 1 AM,AMUTZ2,AMAZL
AMUTZ25AZL-2,E1N,LT 500 kV UTE AZULAO II / AZULAO C 2 AM,AMUTZ2,AMAZL
APCN--1CY--1A,ENT,LT 138 kV US.COA.NUNES / CENTRAL C 1A AP,APCN,APCY
APCN--1CY--2A,ENT,LT 138 kV US.COA.NUNES / CENTRAL C 2A AP,APCN,APCY
APCY--1CN--1,ENT,LT 138 kV US.COA.NUNES / CENTRAL C 1 AP,APCN,APCY
APCY--1CN--2,ENT,LT 138 kV US.COA.NUNES / CENTRAL C 2 AP,APCN,APCY
APCY--1ST--1,CEA,LT 138 kV CENTRAL / SE SANTANA C 1 AP,APCY,APST
APCY--1ST--2,CEA,LT 138 kV CENTRAL / SE SANTANA C 2 AP,APCY,APST
APFGO-2MCP-1,AFN,LT 230 kV FERREI.GOMES / MACAPA C 1 AP,APFGO,APMCP
APLAL-2MCP-1,G20,LT 230 kV LARANJAL / MACAPA C 1 AP,APLAL,APMCP
APLAL-2MCP-2,G20,LT 230 kV LARANJAL / MACAPA C 2 AP,APLAL,APMCP
APLAL-2SAJ-1,EDP,LT 230 kV LARANJAL / STO.ANT.JARI C 1 AP,APLAL,APSAJ
APLRJ-2MCT-1,,LT 230 kV LARANJAL / MACAPA III C 1 AP,APLAL,APMCT
APMCP-0ST--1,CEA,LT 69 kV MACAPA / SE SANTANA C 1 AP,APMCP,APST
APMCP-2MCT-1,G20,LT 230 kV MACAPA / MACAPA III C 1 AP,APMCP,APMCT
APMCT-0MCP-1,G20,LT 69 kV MACAPA / MACAPA III C 1 AP,APMCP,APMCT
APMCT-0ST--1,G20,LT 69 kV MACAPA III / SE SANTANA C 1 AP,APMCT,APST
APMD--0MCP-1,ENT,LT 69 kV MACAPA II / MACAPA C 1 AP,APMD,APMCP
APMD--0ST--1,ENT,LT 69 kV MACAPA II / SE SANTANA C 1 AP,APMD,APST
APS2--0ST--1,ENT,LT 69 kV SANTANA BL II / SE SANTANA C 1 AP,APS2,APST
APS2--0ST--2,ENT,LT 69 kV SANTANA BL II / SE SANTANA C 2 AP,APS2,APST
APSA--0ST--1,ENT,LT 69 kV SANTANA BL I / SE SANTANA C 1 AP,APSA,APST
APSA--0ST--2,ENT,LT 69 kV SANTANA BL I / SE SANTANA C 2 AP,APSA,APST
APSA--0ST--3,ENT,LT 69 kV SANTANA BL I / SE SANTANA C 3 AP,APSA,APST
APSA--0ST--4,ENT,LT 69 kV SANTANA BL I / SE SANTANA C 4 AP,APSA,APST
APSI--0MCP-1,CEA,LT 69 kV MACAPA / SE SANTA RITA C 1 AP,APMCP,APSI
APSI--0QT--1,CEA,LT 69 kV SE EQUATORIAL / SE SANTA RITA C 1 AP,APQT,APSI
APSI--0ST--1,CEA,LT 69 kV SE SANTA RITA / SE SANTANA C 1 AP,APSI,APST
APST--0QT--1,CEA,LT 69 kV SE EQUATORIAL / SE SANTANA C 1 AP,APQT,APST
APUCCA2FGO-1,EDP,LT 230 kV C.CALDEIRAO / FERREI.GOMES C 1 AP,APUCCA,APFGO
